uid,cat
18613,0.487049
34713,0.505651
640893,0.314641
658253,0.259905
698663,0.701819
819953,0.494240
1015991,0.502223
1049171,0.565874
2232041,0.422740
2317921,0.461136
4119741,0.410400
5357812,0.655110
5410962,0.448599
5730192,0.524178
5815162,0.304321
5990782,0.584453
6059462,0.495530
7039122,0.476664
7356562,0.746605
7457112,0.502862
7569062,0.365293
7871622,0.550880
8161712,0.495093
8434292,0.520352
8921662,0.572167
8953122,0.826991
9468372,0.447606
10688432,0.498770
10791692,0.515074
11217112,0.503035
11471902,0.611014
11699992,0.519177
11783502,0.541188
11866582,0.385518
12144232,0.486988
12154642,0.228829
12199912,0.489362
12374262,0.542050
12897112,0.725436
13524182,0.445523
13612452,0.535855
13651772,0.605130
14149825,0.498896
14154145,0.451270
14179097,0.510287
14180091,0.589664
14193053,0.432671
14246765,0.612324
14312952,0.531294
14345238,0.495227
14420319,0.543754
14422439,0.492725
14466538,0.246610
14529929,0.427549
14558556,0.699277
14591053,0.406125
14607035,0.432972
14640856,0.988129
14652207,0.336801
14653515,0.538075
14815439,0.713045
14841990,0.514417
14844867,0.141665
14869615,0.505470
14876672,0.541464
14904437,0.587004
14975341,0.373002
14975777,0.490400
14991129,0.522805
14997156,0.779557
15027086,0.432452
15030319,0.472146
15097698,0.345109
15141153,0.579298
15150904,0.475657
15248019,0.457873
15290909,0.469360
15335534,0.412024
15350114,0.484675
15355596,0.487665
15361224,0.797532
15368831,0.430055
15416505,0.520872
15467700,0.642824
15471305,0.645613
15519984,0.376329
15528275,0.509816
15564737,0.528624
15588500,0.812428
15592409,0.715254
15644361,0.643057
15659876,0.476619
15691217,0.470084
15698424,0.508667
15738163,0.497257
15801623,0.403208
15824288,0.665424
15837659,0.549846
15865178,0.573838
15880231,0.550990
15932201,0.441513
15939889,0.824433
15949499,0.560834
15954997,0.551833
15966651,0.539350
16092470,0.535501
16143547,0.538083
16187637,0.399132
16246524,0.512961
16265835,0.408158
16317406,0.618569
16340501,0.491563
16384077,0.338676
16397938,0.538738
16430180,0.585901
16442379,0.541093
16442769,0.444819
16447203,0.166667
16490790,0.288085
16504279,0.500637
16516557,0.536928
16563441,0.403534
16565279,0.544480
16571326,0.428484
16583468,0.747481
16620338,0.505422
16670356,0.579768
16673480,0.525223
16714630,0.545334
16829641,0.604634
16882190,0.590478
16955832,0.412735
16970757,0.537314
16984426,0.493087
17029260,0.444711
17079233,0.544668
17099702,0.568387
17125184,0.497386
17147415,0.633224
17177380,0.649665
17189640,0.552593
17238812,0.460435
17259137,0.720416
17291452,0.483461
17454769,0.293243
17466186,0.226389
17628113,0.472930
17665196,0.478857
17674136,0.478125
17763819,0.487326
17824265,0.438435
17842545,0.657404
17850012,0.165803
17871151,0.492167
17896154,0.557863
17905825,0.540844
17914526,0.399968
17968106,0.453057
17995040,0.453312
18018946,0.544716
18061669,0.508007
18149379,0.500702
18217624,0.658103
18259073,0.589861
18319387,0.597319
18401584,0.552820
18416448,0.537071
18464266,0.841180
18496709,0.216735
18525137,0.490773
18545087,0.450982
18618463,0.447006
18757212,0.527837
18768324,0.249857
18772897,0.035123
18810140,0.614056
18842500,0.596096
18873014,0.507161
18876259,0.549962
18891923,0.550456
18907463,0.659825
18913730,0.477680
18978553,0.412569
18986746,0.103260
19041801,0.529351
19042148,0.523978
19214688,0.438789
19273332,0.296827
19341224,0.436516
19360277,0.378887
19372353,0.556682
19407835,0.484525
19459174,0.526390
19511892,0.501106
19515741,0.420917
19550464,0.314412
19552358,0.543845
19554219,0.360680
19558678,0.645800
19616327,0.465808
19632767,0.405836
19682929,0.693056
19697415,0.133773
19705861,0.496803
19739126,0.533760
19756913,0.426361
19782280,0.370295
19797212,0.501802
19808466,0.573949
