uid,cat
18613,0.685191
34713,0.513150
640893,0.155438
658253,0.629024
698663,0.391945
819953,0.517158
1015991,0.805290
1049171,0.734138
2232041,0.114233
2317921,0.378280
4119741,0.503767
5357812,0.778002
5410962,0.430436
5730192,0.480189
5815162,0.388321
5990782,0.134446
6059462,0.882653
7039122,0.061738
7356562,0.997854
7457112,0.660496
7569062,0.672481
7871622,0.352105
8161712,0.180739
8434292,0.350938
8921662,0.680269
8953122,0.861937
9468372,0.173141
10688432,0.354561
10791692,0.183888
11217112,0.110985
11471902,0.405129
11699992,0.743166
11783502,0.783799
11866582,0.133700
12144232,0.237395
12154642,0.002606
12199912,0.488266
12374262,0.346673
12897112,0.771718
13524182,0.427847
13612452,0.583289
13651772,0.607008
14149825,0.349244
14154145,0.583914
14179097,0.535693
14180091,0.245749
14193053,0.793452
14246765,0.337697
14312952,0.302802
14345238,0.518416
14420319,0.487668
14422439,0.567217
14466538,0.126920
14529929,0.203057
14558556,0.684200
14591053,0.406405
14607035,0.270442
14640856,0.876192
14652207,0.043008
14653515,0.792762
14815439,0.511368
14841990,0.097274
14844867,0.062481
14869615,0.325766
14876672,0.483333
14904437,0.786943
14975341,0.408154
14975777,0.480993
14991129,0.138013
14997156,0.989481
15027086,0.501479
15030319,0.469138
15097698,0.004815
15141153,0.705116
15150904,0.727879
15248019,0.436691
15290909,0.098068
15335534,0.370028
15350114,0.867284
15355596,0.525436
15361224,0.855219
15368831,0.510245
15416505,0.471489
15467700,0.909607
15471305,0.637863
15519984,0.492139
15528275,0.378658
15564737,0.511551
15588500,0.883646
15592409,0.899959
15644361,0.765444
15659876,0.090250
15691217,0.093331
15698424,0.196859
15738163,0.832392
15801623,0.028076
15824288,0.904606
15837659,0.806549
15865178,0.143308
15880231,0.976798
15932201,0.203834
15939889,0.517330
15949499,0.539121
15954997,0.916546
15966651,0.310066
16092470,0.589552
16143547,0.630672
16187637,0.658058
16246524,0.871882
16265835,0.580571
16317406,0.886895
16340501,0.477601
16384077,0.285895
16397938,0.934509
16430180,0.673828
16442379,0.487097
16442769,0.267837
16447203,0.254538
16490790,0.405906
16504279,0.347642
16516557,0.536190
16563441,0.492159
16565279,0.446818
16571326,0.167962
16583468,0.997112
16620338,0.532696
16670356,0.848242
16673480,0.167028
16714630,0.135580
16829641,0.998978
16882190,0.641840
16955832,0.332555
16970757,0.633965
16984426,0.129230
17029260,0.444323
17079233,0.771918
17099702,0.480787
17125184,0.791639
17147415,0.429774
17177380,0.572936
17189640,0.154676
17238812,0.649515
17259137,0.984447
17291452,0.328186
17454769,0.104554
17466186,0.131468
17628113,0.292404
17665196,0.354248
17674136,0.702768
17763819,0.515743
17824265,0.628138
17842545,0.532035
17850012,0.244980
17871151,0.147500
17896154,0.686612
17905825,0.390889
17914526,0.309429
17968106,0.470142
17995040,0.050376
18018946,0.307730
18061669,0.502894
18149379,0.461731
18217624,0.497892
18259073,0.752121
18319387,0.423863
18401584,0.388223
18416448,0.972939
18464266,0.409039
18496709,0.276702
18525137,0.641832
18545087,0.193260
18618463,0.394339
18757212,0.042647
18768324,0.028833
18772897,0.135882
18810140,0.836375
18842500,0.411843
18873014,0.449696
18876259,0.466219
18891923,0.685785
18907463,0.981282
18913730,0.578075
18978553,0.142684
18986746,0.268502
19041801,0.985661
19042148,0.632834
19214688,0.268357
19273332,0.197674
19341224,0.746869
19360277,0.329288
19372353,0.680161
19407835,0.519633
19459174,0.635272
19511892,0.197493
19515741,0.169980
19550464,0.623961
19552358,0.402472
19554219,0.069962
19558678,0.710414
19616327,0.696903
19632767,0.439835
19682929,0.755804
19697415,0.379819
19705861,0.438296
19739126,0.086052
19756913,0.021241
19782280,0.373547
19797212,0.664512
19808466,0.360463
19828669,0.488040
19834104,0.379090
19891385,0.315909
19898968,0.396380
19911013,0.582479
19925750,0.234537
19927246,0.781633
19940085,0.838076
20002401,0.913387
20320732,0.186061
20370009,0.572967
20444684,0.685072
20479813,0.624023
20485360,0.619506
20495784,0.961142
20563733,0.966667
20565828,0.827754
20597460,0.852166
20601355,0.141291
20631422,0.137356
20713061,0.132733
20733972,0.693054
20797433,0.171126
20800806,0.307061
20824022,0.457078
20834145,0.683756
20863953,0.996496
20912252,0.208407
20961223,0.907521
21056670,0.999496
21111098,0.527682
21157904,0.651774
21163774,0.402940
21173031,0.495461
21265109,0.698787
21282579,0.880094
21312077,0.594363
21324442,0.895141
21355783,0.340539
21367529,0.116120
21431618,0.034670
21457760,0.050131
21461944,0.886360
21524994,0.264567
21537009,0.153813
21600671,0.940466
21692297,0.746175
21725307,0.779520
21768283,0.423693
21786220,0.220017
21907474,0.528913
21946424,0.814685
21980851,0.205522
21982720,0.582085
22005666,0.443056
22053247,0.270413
22065051,0.371288
22084332,0.897695
22182810,0.644343
22228362,0.090017
22293499,0.807333
22313347,0.154396
22402879,0.397976
22489176,0.649022
22568938,0.933396
22591029,0.319761
22630531,0.903124
22728672,0.224973
22737278,0.313462
22831059,0.916616
22869375,0.942885
22903890,0.652774
22933975,0.664344
22952100,0.227120
23001277,0.874137
23139642,0.474901
23202279,0.588288
23239595,0.544071
23244977,0.612123
23410387,0.509431
23420032,0.373569
23442900,1.000000
23458577,0.468603
23566062,0.825420
23600262,0.589321
23680387,0.730820
23683237,0.033112
23721547,0.375887
23722338,0.826848
23724083,0.896930
23839068,0.853167
23908154,0.116693
23970102,0.089666
24004161,0.404035
24024964,0.294645
24048309,0.807213
24091175,0.046902
24173766,0.053308
24196431,0.549196
24321412,0.714013
24325228,0.591123
24382424,0.529337
24431892,0.052859
24462845,0.153985
24469207,0.088736
24546965,0.659240
24553611,0.104640
24619328,0.183327
24751102,0.384080
24754443,0.611149
24771990,0.153490
24773493,0.857398
24891056,0.345353
25062618,0.241979
25376782,0.881353
25422037,0.595716
25470277,0.387098
25523383,0.949826
25653022,0.644896
25700780,0.418236
25703657,0.667864
25837158,0.117118
25907345,0.877596
26073624,0.425692
26166038,0.562838
26186655,0.501833
26447622,0.639643
26448815,0.603583
26671291,0.640927
26838084,0.971104
