uid,cat
18613,0.470192
34713,0.457667
640893,0.221662
658253,0.304690
698663,0.649995
819953,0.479514
1015991,0.483841
1049171,0.636712
2232041,0.451863
2317921,0.476515
4119741,0.397882
5357812,0.572248
5410962,0.452729
5730192,0.490928
5815162,0.469955
5990782,0.622687
6059462,0.461481
7039122,0.548383
7356562,0.617514
7457112,0.464321
7569062,0.268117
7871622,0.587095
8161712,0.490145
8434292,0.531191
8921662,0.625865
8953122,0.688618
9468372,0.473417
10688432,0.535279
10791692,0.519488
11217112,0.512477
11471902,0.672519
11699992,0.506186
11783502,0.537204
11866582,0.336943
12144232,0.462914
12154642,0.227007
12199912,0.520583
12374262,0.539655
12897112,0.569855
13524182,0.454345
13612452,0.514670
13651772,0.631427
14149825,0.508471
14154145,0.448821
14179097,0.511194
14180091,0.554110
14193053,0.366180
14246765,0.616022
14312952,0.516678
14345238,0.498201
14420319,0.539876
14422439,0.498027
14466538,0.377218
14529929,0.387981
14558556,0.619254
14591053,0.450225
14607035,0.327181
14640856,0.670751
14652207,0.418233
14653515,0.566484
14815439,0.608986
14841990,0.496071
14844867,0.213219
14869615,0.468302
14876672,0.589469
14904437,0.528455
14975341,0.436366
14975777,0.526857
14991129,0.548354
14997156,0.793873
15027086,0.416250
15030319,0.416810
15097698,0.356495
15141153,0.614345
15150904,0.479296
15248019,0.471970
15290909,0.468801
15335534,0.390052
15350114,0.503999
15355596,0.521304
15361224,0.741381
15368831,0.463864
15416505,0.506327
15467700,0.608083
15471305,0.737427
15519984,0.438395
15528275,0.507746
15564737,0.520960
15588500,0.741778
15592409,0.734530
15644361,0.716595
15659876,0.477622
15691217,0.440192
15698424,0.510266
15738163,0.509757
15801623,0.299652
15824288,0.622039
15837659,0.549797
15865178,0.594717
15880231,0.580425
15932201,0.471514
15939889,0.663909
15949499,0.543248
15954997,0.544274
15966651,0.530638
16092470,0.510812
16143547,0.549783
16187637,0.470755
16246524,0.529666
16265835,0.458720
16317406,0.553499
16340501,0.448317
16384077,0.309311
16397938,0.558895
16430180,0.626590
16442379,0.546937
16442769,0.414264
16447203,0.420044
16490790,0.376279
16504279,0.463070
16516557,0.521574
16563441,0.310555
16565279,0.559650
16571326,0.434533
16583468,0.618601
16620338,0.480673
16670356,0.568523
16673480,0.554631
16714630,0.596265
16829641,0.696514
16882190,0.599282
16955832,0.352840
16970757,0.530851
16984426,0.424521
17029260,0.467758
17079233,0.552036
17099702,0.645047
17125184,0.517275
17147415,0.671395
17177380,0.599734
17189640,0.584496
17238812,0.497322
17259137,0.701635
17291452,0.462320
17454769,0.286648
17466186,0.285016
17628113,0.375750
17665196,0.516343
17674136,0.502777
17763819,0.486525
17824265,0.433879
17842545,0.566932
17850012,0.222794
17871151,0.473680
17896154,0.541541
17905825,0.558675
17914526,0.334034
17968106,0.460539
17995040,0.380880
18018946,0.544062
18061669,0.509157
18149379,0.497845
18217624,0.567269
18259073,0.680813
18319387,0.642412
18401584,0.513561
18416448,0.513744
18464266,0.742115
18496709,0.373491
18525137,0.506105
18545087,0.396913
18618463,0.299415
18757212,0.551323
18768324,0.213708
18772897,0.186173
18810140,0.642672
18842500,0.654660
18873014,0.526041
18876259,0.567325
18891923,0.532066
18907463,0.577000
18913730,0.476178
18978553,0.392206
18986746,0.190693
19041801,0.569475
19042148,0.521916
19214688,0.349979
19273332,0.275635
19341224,0.481314
19360277,0.326394
19372353,0.551463
19407835,0.511983
19459174,0.530312
19511892,0.475742
19515741,0.470759
19550464,0.314454
19552358,0.566157
19554219,0.363554
19558678,0.653492
19616327,0.447877
19632767,0.451489
19682929,0.663540
19697415,0.307950
19705861,0.478117
19739126,0.518005
19756913,0.412352
19782280,0.292760
19797212,0.466337
19808466,0.548508
19828669,0.529107
19834104,0.511959
19891385,0.514820
19898968,0.484232
19911013,0.540547
19925750,0.320109
19927246,0.512383
19940085,0.543107
20002401,0.592739
20320732,0.424444
20370009,0.521302
20444684,0.498394
20479813,0.623313
20485360,0.465113
20495784,0.482170
20563733,0.350431
20565828,0.511247
20597460,0.512208
20601355,0.509732
20631422,0.442409
20713061,0.415309
20733972,0.678737
20797433,0.535953
20800806,0.523513
20824022,0.397549
20834145,0.576960
20863953,0.688843
20912252,0.515100
20961223,0.520561
21056670,0.572260
21111098,0.547074
21157904,0.536175
21163774,0.333793
21173031,0.486767
21265109,0.546896
21282579,0.553011
21312077,0.571623
21324442,0.456662
21355783,0.360361
21367529,0.510372
21431618,0.284123
21457760,0.492692
21461944,0.683626
21524994,0.291581
21537009,0.287169
21600671,0.709941
21692297,0.712349
21725307,0.385916
21768283,0.568895
21786220,0.560293
21907474,0.450972
21946424,0.745330
21980851,0.480197
21982720,0.496324
22005666,0.438477
22053247,0.510833
22065051,0.455330
22084332,0.625154
22182810,0.765823
22228362,0.234204
22293499,0.591000
22313347,0.206203
22402879,0.461137
22489176,0.478050
22568938,0.468303
22591029,0.402838
22630531,0.709808
22728672,0.499057
22737278,0.556753
22831059,0.592540
22869375,0.746458
22903890,0.514703
22933975,0.559175
22952100,0.424071
23001277,0.498718
23139642,0.323742
23202279,0.556954
23239595,0.509089
23244977,0.517100
23410387,0.665604
23420032,0.493489
23442900,0.499128
23458577,0.415725
23566062,0.574162
23600262,0.568143
23680387,0.670076
23683237,0.371535
23721547,0.706452
23722338,0.574816
23724083,0.595458
23839068,0.530179
23908154,0.417996
23970102,0.328310
24004161,0.480166
24024964,0.485318
24048309,0.627798
24091175,0.320501
24173766,0.393500
24196431,0.528019
24321412,0.486250
24325228,0.506735
24382424,0.424050
24431892,0.307509
24462845,0.571169
24469207,0.438595
24546965,0.545668
24553611,0.439035
24619328,0.359609
24751102,0.448585
24754443,0.492271
24771990,0.378908
24773493,0.545971
24891056,0.522207
25062618,0.421991
25376782,0.721207
25422037,0.484918
25470277,0.468160
25523383,0.589683
25653022,0.696968
25700780,0.525131
25703657,0.635400
25837158,0.541573
25907345,0.521022
26073624,0.458685
26166038,0.673332
26186655,0.759493
26447622,0.492616
26448815,0.509059
26671291,0.533715
26838084,0.691103
26996910,0.516319
27044466,0.535739
27067245,0.321966
27109629,0.522449
27254400,0.521279
27311044,0.446867
27382597,0.303320
27392088,0.424400
27535392,0.446909
27754737,0.290608
28389123,0.439962
28390436,0.580892
28417752,0.490144
28421062,0.504078
28428796,0.420255
28583679,0.420246
28611932,0.465107
28708693,0.659896
28884165,0.450149
29461066,0.542116
29501253,0.558082
29810999,0.452526
29828407,0.350972
30020457,0.515054
30024076,0.454177
30229527,0.607583
30260471,0.524350
30453215,0.580833
30534986,0.411287
30687343,0.624229
30738693,0.490829
31146195,0.522143
31218079,0.475669
31237069,0.565177
31464192,0.477752
31524308,0.504802
31630823,0.476324
31970121,0.559663
32291954,0.751223
32370124,0.494060
32506723,0.437303
32522055,0.534416
32698651,0.490866
32901775,0.481442
33089758,0.509033
33276161,0.415881
33428464,0.223754
33581258,0.464797
33598182,0.516141
33650159,0.548963
33655490,0.493433
33962024,0.516731
33965228,0.572911
34340464,0.507391
34377792,0.359987
34574304,0.623814
34833836,0.521637
35567897,0.581951
35688200,0.359614
35728482,0.468551
35758363,0.581574
35766688,0.587032
35779221,0.444326
36532324,0.352771
36715157,0.486785
36848129,0.468061
36940614,0.635073
37031780,0.393704
37171200,0.455615
37925384,0.507759
38059716,0.468170
38356380,0.495742
38527519,0.501672
38542427,0.580237
38568814,0.656003
38992631,0.216053
39279821,0.360872
39604218,0.423372
39608768,0.375409
39871383,0.539996
40182386,0.541568
40271429,0.462669
40367637,0.514535
40602195,0.304914
40713594,0.588468
40910906,0.460391
40985398,0.486153
41016473,0.588974
41035664,0.467512
41043688,0.502715
41410702,0.277065
41614718,0.542875
41867187,0.522988
41911585,0.580904
42026991,0.480417
42084426,0.593105
42130355,0.549901
42222668,0.515601
42229538,0.487299
42244985,0.511874
42256596,0.530330
42295835,0.773782
42895967,0.419926
43216109,0.494089
43612335,0.529264
43933689,0.357359
44036125,0.352637
44431389,0.561544
44433231,0.569378
44495316,0.624453
44534427,0.378156
44638576,0.623804
44666093,0.518441
44970004,0.352425
45382058,0.507125
45438720,0.461987
45801800,0.539682
45943310,0.669722
46286327,0.503741
46315702,0.464485
46817943,0.630245
46909096,0.492661
47208642,0.536071
47360640,0.477871
47448886,0.656597
47609159,0.425110
47611798,0.608715
47738336,0.514675
47801895,0.378239
48103098,0.543432
48459553,0.390574
48462847,0.554837
48789206,0.404527
49031364,0.241257
49035017,0.457962
49140008,0.454793
49159617,0.230951
49349804,0.181016
49494776,0.590009
49729058,0.305865
49825358,0.582187
49910253,0.803875
49964679,0.330267
50073507,0.292815
50206233,0.499290
50427352,0.470939
50574380,0.615655
50678562,0.518044
51194212,0.542782
51244287,0.357305
51537566,0.397450
51798402,0.593671
52076995,0.419119
52237499,0.388215
52304376,0.712324
52482547,0.480193
52702957,0.479159
52718518,0.561753
52771152,0.594430
52897731,0.539694
53104326,0.543770
53309297,0.596792
53848598,0.522836
54081679,0.514070
54193002,0.492194
54602427,0.435177
54941938,0.257977
55310956,0.614867
55398550,0.528011
55643849,0.699860
55677432,0.583115
55684796,0.523924
56001656,0.714618
56452670,0.558860
56586281,0.492551
56586687,0.545027
56838529,0.633445
56867302,0.508872
57377201,0.502022
57389552,0.611482
57435654,0.447152
58074184,0.571560
58209656,0.376782
58542624,0.495304
58569513,0.542105
58915476,0.705943
59217500,0.293845
59917627,0.613325
59961072,0.532695
60140764,0.523670
61003613,0.404463
61028046,0.316295
61890677,0.570246
62132257,0.560198
62521603,0.498860
62950213,0.535814
63048772,0.487795
63073834,0.604702
63228779,0.280696
63818888,0.648061
64015215,0.559726
64405579,0.475389
64617552,0.592486
65272235,0.710263
65981979,0.351666
66336739,0.511417
66536279,0.495954
66618159,0.494553
67181051,0.750800
67576760,0.550903
67819141,0.709482
67973860,0.477681
69229697,0.357317
70162470,0.528975
70477603,0.460515
70515960,0.506188
72273570,0.484060
72325394,0.376386
72638139,0.500921
73170404,0.535851
73730139,0.435354
73829388,0.574092
74230885,0.541378
74517909,0.496714
74548068,0.502424
74662993,0.495371
75422403,0.781585
75893701,0.587879
76200159,0.615456
76221819,0.472431
76452765,0.508079
76540301,0.441128
76570908,0.451539
77050817,0.717650
77544463,0.467064
77875702,0.630228
79258361,0.567997
80290374,0.489344
80415454,0.481274
80624266,0.409962
81014765,0.290934
81089137,0.586552
82014214,0.663060
82167518,0.758117
82179637,0.551797
82419517,0.512394
82969624,0.552664
83283585,0.480249
83967276,0.603476
84126644,0.659295
84482355,0.401092
85041406,0.376670
85127375,0.686985
85794542,0.527771
86439208,0.556442
87030767,0.288779
87051556,0.512671
87278897,0.315248
88348765,0.407536
88551731,0.567316
88620317,0.476319
88791057,0.605758
88940350,0.514555
88957942,0.557881
89781370,0.581425
90647602,0.715851
91863101,0.489642
91882544,0.690842
92186819,0.610382
92431821,0.340856
92528463,0.535833
93029202,0.475746
93574095,0.489694
94125439,0.582702
94454080,0.496572
94551207,0.488278
95303730,0.410906
95595053,0.496004
95687767,0.492043
96043691,0.536338
96426017,0.646412
96824952,0.483840
97223142,0.497941
97575423,0.639195
97583689,0.570925
99386572,0.543376
100110769,0.566680
100402803,0.591327
100612482,0.499720
100673651,0.464383
100880543,0.708363
101626804,0.438655
101783862,0.643183
102116396,0.608734
102150935,0.320588
102192639,0.476379
102446768,0.367278
102773721,0.481555
103508045,0.300651
103706347,0.563689
103849564,0.489594
103893110,0.492358
104588893,0.435737
104727439,0.514373
104811393,0.497473
105764853,0.776227
106843663,0.460951
107290835,0.534175
107374598,0.484004
108196727,0.458450
109307442,0.505927
109756379,0.503744
110265621,0.559690
110375093,0.487698
110632424,0.479639
110911172,0.501126
111163086,0.534165
111345339,0.547556
111475826,0.524100
112255767,0.611852
112533514,0.510392
112576406,0.264748
113163844,0.572197
113346201,0.299161
113431424,0.442848
113476423,0.602673
113758100,0.506924
114007315,0.475196
114024610,0.476047
114548995,0.513442
114887629,0.229921
115119048,0.470131
115230067,0.573239
115979444,0.493844
116341480,0.229564
116830038,0.525346
116835497,0.263704
116845797,0.477732
117233982,0.544176
117529976,0.513354
118245138,0.273072
119074643,0.465741
119495864,0.752972
119571473,0.614393
120550648,0.334790
120835788,0.504582
121626258,0.488752
122167306,0.439306
122592298,0.500472
123035277,0.487089
123266709,0.515559
123327472,0.447162
123738314,0.461373
123879401,0.534867
124275780,0.458725
124567146,0.512265
124653833,0.603738
124763921,0.586502
125706625,0.469710
125931208,0.487654
126401831,0.438111
126628076,0.513969
126668055,0.356215
126778508,0.389272
126783082,0.441791
128733097,0.278477
129350395,0.517088
129679132,0.516924
130171234,0.545508
131262336,0.496863
132564528,0.516318
133801267,0.463268
133832049,0.601699
134249298,0.699214
134849548,0.488638
134924292,0.487071
135344405,0.710118
135620804,0.420856
137327982,0.452159
137525850,0.533650
138910709,0.435139
138977055,0.428934
139738464,0.193990
139853489,0.598171
140047339,0.510484
140564601,0.569590
140571506,0.498706
141311466,0.528998
141946686,0.341938
142075152,0.564304
142716668,0.496288
143159371,0.410575
145042229,0.582970
145518909,0.711407
145708791,0.486978
147128025,0.554199
147450056,0.565803
147712159,0.732264
148828676,0.564846
148846102,0.529674
149965942,0.439085
152204625,0.601185
152818187,0.475738
153198298,0.567771
154139987,0.472288
154621647,0.384305
155773979,0.591057
156045092,0.531845
156745023,0.515196
156831916,0.457496
157665372,0.584145
160219862,0.450035
160348847,0.463150
160724902,0.536656
161210880,0.511472
161487326,0.577002
161971127,0.483898
162473641,0.439921
162524508,0.488068
163180737,0.626065
163250093,0.555065
163939556,0.477037
164369297,0.595228
164447901,0.591713
166107508,0.506332
166272944,0.595544
166618587,0.556299
166633303,0.440011
166764102,0.457296
167024520,0.521983
167214012,0.536016
167898719,0.572512
168507420,0.558299
169018290,0.439529
169518455,0.494711
170547167,0.584597
170801530,0.263933
171213128,0.451373
171598736,0.583450
172962811,0.548779
173216568,0.489945
175075708,0.475689
176153330,0.497173
176659323,0.446811
176850599,0.477368
176909116,0.247426
176910659,0.471283
177169769,0.520905
177549638,0.572518
177583197,0.396063
177592870,0.446057
178836499,0.421483
179070296,0.526346
179732982,0.330567
179948811,0.457810
180633258,0.419446
180653053,0.553413
182446060,0.525753
184780576,0.263776
185277740,0.515794
185506471,0.547815
185903495,0.519074
186621181,0.472268
187253039,0.523761
187377716,0.478558
187658030,0.566463
188744528,0.346834
189408784,0.496910
190328374,0.539414
190537400,0.521726
191049947,0.722989
192028431,0.615055
192379122,0.514451
193069286,0.466197
193796574,0.711402
194222922,0.440103
195829353,0.714076
197095038,0.578071
197417201,0.278282
198488053,0.417499
199875709,0.447419
201008210,0.519627
202472938,0.571010
202480627,0.447051
209739174,0.311770
210002058,0.526325
211871567,0.262339
211932365,0.553702
212129844,0.504811
212634446,0.434929
212934500,0.562760
213761225,0.522333
215911580,0.256872
216419836,0.732380
216554380,0.656611
217145597,0.583896
218526734,0.406471
218975278,0.257863
218993683,0.409087
219867689,0.433689
220523088,0.543869
221162525,0.540223
221179155,0.561898
221637541,0.490519
221762308,0.425004
223554780,0.564174
224351666,0.526941
224391627,0.514172
225068510,0.593320
225970038,0.525393
226219881,0.510650
227083634,0.297921
227595374,0.502868
230450027,0.675388
231129000,0.658717
231558689,0.532765
231895094,0.395391
233761277,0.556224
233949261,0.418223
234224660,0.515919
234872414,0.545640
236511574,0.596412
236906055,0.571005
237131131,0.520933
237348797,0.557802
237820048,0.500090
238064439,0.444929
238206354,0.518348
238862918,0.367101
239964758,0.308542
240303484,0.597276
240431327,0.615766
240913462,0.437171
240984102,0.431761
241922493,0.445915
243624699,0.552218
243639047,0.310062
243666326,0.426912
244268646,0.510733
245237505,0.556305
245358984,0.666186
245412130,0.462139
246403554,0.696870
247196478,0.581860
247854534,0.477822
247890865,0.534416
247905865,0.484928
247981000,0.524797
248109607,0.465013
248286601,0.501929
248498819,0.738001
249379601,0.516390
249542934,0.551141
250912539,0.355228
251831537,0.505287
251986226,0.530706
