uid,cat
18613,0.450508
34713,0.423843
640893,0.218448
658253,0.259501
698663,0.673153
819953,0.459543
1015991,0.460182
1049171,0.693283
2232041,0.361764
2317921,0.435344
4119741,0.349848
5357812,0.652670
5410962,0.361699
5730192,0.528009
5815162,0.395307
5990782,0.705178
6059462,0.372319
7039122,0.501076
7356562,0.696139
7457112,0.461332
7569062,0.212472
7871622,0.604893
8161712,0.489386
8434292,0.484634
8921662,0.697293
8953122,0.681273
9468372,0.437832
10688432,0.531713
10791692,0.497079
11217112,0.479675
11471902,0.656617
11699992,0.463985
11783502,0.543010
11866582,0.275240
12144232,0.449122
12154642,0.161764
12199912,0.495385
12374262,0.582400
12897112,0.636136
13524182,0.409855
13612452,0.501515
13651772,0.705943
14149825,0.435338
14154145,0.453831
14179097,0.512084
14180091,0.556374
14193053,0.329794
14246765,0.695354
14312952,0.554268
14345238,0.515949
14420319,0.538790
14422439,0.412827
14466538,0.285170
14529929,0.386140
14558556,0.738379
14591053,0.380882
14607035,0.282016
14640856,0.709388
14652207,0.385049
14653515,0.605170
14815439,0.693758
14841990,0.500515
14844867,0.206766
14869615,0.451437
14876672,0.592495
14904437,0.581987
14975341,0.417451
14975777,0.474593
14991129,0.537737
14997156,0.808228
15027086,0.418179
15030319,0.395722
15097698,0.341925
15141153,0.583372
15150904,0.513409
15248019,0.451424
15290909,0.372035
15335534,0.380325
15350114,0.514128
15355596,0.537109
15361224,0.795612
15368831,0.376614
15416505,0.510002
15467700,0.705755
15471305,0.755494
15519984,0.383719
15528275,0.476409
15564737,0.538926
15588500,0.773223
15592409,0.744185
15644361,0.786857
15659876,0.465853
15691217,0.363925
15698424,0.497171
15738163,0.410030
15801623,0.174621
15824288,0.726408
15837659,0.608432
15865178,0.591347
15880231,0.608539
15932201,0.434284
15939889,0.762600
15949499,0.556529
15954997,0.619642
15966651,0.553161
16092470,0.590785
16143547,0.563620
16187637,0.409761
16246524,0.588487
16265835,0.406444
16317406,0.641529
16340501,0.403562
16384077,0.337236
16397938,0.611142
16430180,0.680157
16442379,0.566032
16442769,0.268509
16447203,0.242317
16490790,0.303291
16504279,0.456132
16516557,0.562452
16563441,0.211223
16565279,0.608149
16571326,0.372912
16583468,0.747201
16620338,0.485878
16670356,0.643984
16673480,0.587655
16714630,0.596749
16829641,0.730696
16882190,0.677695
16955832,0.300830
16970757,0.486990
16984426,0.309408
17029260,0.416875
17079233,0.601161
17099702,0.695328
17125184,0.477713
17147415,0.759721
17177380,0.649858
17189640,0.687020
17238812,0.434585
17259137,0.745286
17291452,0.389626
17454769,0.244560
17466186,0.255262
17628113,0.344058
17665196,0.589896
17674136,0.499883
17763819,0.472862
17824265,0.371800
17842545,0.486151
17850012,0.213696
17871151,0.402113
17896154,0.530732
17905825,0.578572
17914526,0.304558
17968106,0.512136
17995040,0.396259
18018946,0.607807
18061669,0.536960
18149379,0.475868
18217624,0.618669
18259073,0.705575
18319387,0.687121
18401584,0.516698
18416448,0.536818
18464266,0.795025
18496709,0.287954
18525137,0.488117
18545087,0.340185
18618463,0.245894
18757212,0.531095
18768324,0.183578
18772897,0.168725
18810140,0.695842
18842500,0.686162
18873014,0.535507
18876259,0.607602
18891923,0.586550
18907463,0.703477
18913730,0.393220
18978553,0.360877
18986746,0.192577
19041801,0.606200
19042148,0.578635
19214688,0.295434
19273332,0.242458
19341224,0.499817
19360277,0.294180
19372353,0.697307
19407835,0.562238
19459174,0.583814
19511892,0.407253
19515741,0.471723
19550464,0.309583
19552358,0.621109
19554219,0.300345
19558678,0.750592
19616327,0.432447
19632767,0.383158
19682929,0.762849
19697415,0.198148
19705861,0.462325
19739126,0.575485
19756913,0.317799
19782280,0.251546
19797212,0.498059
19808466,0.575269
19828669,0.539006
19834104,0.530154
19891385,0.523399
19898968,0.506134
19911013,0.542170
19925750,0.281414
19927246,0.574907
19940085,0.572706
20002401,0.698948
20320732,0.359165
20370009,0.465000
20444684,0.503063
20479813,0.691954
20485360,0.376641
20495784,0.432036
20563733,0.266322
20565828,0.601930
20597460,0.527173
20601355,0.504517
20631422,0.274470
20713061,0.306948
20733972,0.693934
20797433,0.533914
20800806,0.560648
20824022,0.287046
20834145,0.608651
20863953,0.766676
20912252,0.564610
20961223,0.544250
21056670,0.715990
21111098,0.582184
21157904,0.557489
21163774,0.256433
21173031,0.482616
21265109,0.600140
21282579,0.619370
21312077,0.687181
21324442,0.490392
21355783,0.268886
21367529,0.447925
21431618,0.228740
21457760,0.443619
21461944,0.716926
21524994,0.263702
21537009,0.264495
21600671,0.731654
21692297,0.704279
21725307,0.346115
21768283,0.589963
21786220,0.605497
21907474,0.438478
21946424,0.820539
21980851,0.472711
21982720,0.461037
22005666,0.444782
22053247,0.503420
22065051,0.446138
22084332,0.757730
22182810,0.798515
22228362,0.231265
22293499,0.664707
22313347,0.221707
22402879,0.330387
22489176,0.494007
22568938,0.437614
22591029,0.277470
22630531,0.739274
22728672,0.450395
22737278,0.574494
22831059,0.593343
22869375,0.806950
22903890,0.472891
22933975,0.646145
22952100,0.307899
23001277,0.489408
23139642,0.288737
23202279,0.584588
23239595,0.480073
23244977,0.544969
23410387,0.686194
23420032,0.460066
23442900,0.534214
23458577,0.331359
23566062,0.607960
23600262,0.683684
23680387,0.703512
23683237,0.246303
23721547,0.706881
23722338,0.634835
23724083,0.684512
23839068,0.562480
23908154,0.345417
23970102,0.263676
24004161,0.400713
24024964,0.405419
24048309,0.752957
24091175,0.247542
24173766,0.272348
24196431,0.516006
24321412,0.492168
24325228,0.504796
24382424,0.310080
24431892,0.266128
24462845,0.638058
24469207,0.363091
24546965,0.619597
24553611,0.293924
24619328,0.258739
24751102,0.414540
24754443,0.483932
24771990,0.326754
24773493,0.621425
24891056,0.504766
25062618,0.272331
25376782,0.740566
25422037,0.388002
25470277,0.392184
25523383,0.688226
25653022,0.731004
25700780,0.576605
25703657,0.754723
25837158,0.562326
25907345,0.551444
26073624,0.411647
26166038,0.691661
26186655,0.760650
26447622,0.437056
26448815,0.540092
26671291,0.487307
26838084,0.733644
26996910,0.536680
27044466,0.537572
27067245,0.300926
27109629,0.610235
27254400,0.513603
27311044,0.404438
27382597,0.223791
27392088,0.417348
27535392,0.392679
27754737,0.267134
28389123,0.369380
28390436,0.661979
28417752,0.481616
28421062,0.511641
28428796,0.307166
28583679,0.293320
28611932,0.405882
28708693,0.745906
28884165,0.417711
29461066,0.551101
29501253,0.651824
29810999,0.380968
29828407,0.256971
30020457,0.484601
30024076,0.353890
30229527,0.682242
30260471,0.528842
30453215,0.746088
30534986,0.341133
30687343,0.695390
30738693,0.458306
31146195,0.539366
31218079,0.427449
31237069,0.712630
31464192,0.470463
31524308,0.458999
31630823,0.414831
31970121,0.585730
32291954,0.791925
32370124,0.477855
32506723,0.371972
32522055,0.598520
32698651,0.506556
32901775,0.450629
33089758,0.404123
33276161,0.368549
33428464,0.238538
33581258,0.421069
33598182,0.570692
33650159,0.614985
33655490,0.536129
33962024,0.569424
33965228,0.608882
34340464,0.520081
34377792,0.360954
34574304,0.654230
34833836,0.561911
35567897,0.644044
35688200,0.367903
35728482,0.449227
35758363,0.657779
35766688,0.660963
35779221,0.509374
36532324,0.231492
36715157,0.483035
36848129,0.441726
36940614,0.719668
37031780,0.322327
37171200,0.385566
37925384,0.510603
38059716,0.447490
38356380,0.509639
38527519,0.482220
38542427,0.590544
38568814,0.782376
38992631,0.199572
39279821,0.252298
39604218,0.352082
39608768,0.413903
39871383,0.671844
40182386,0.585919
40271429,0.494030
40367637,0.505939
40602195,0.262082
40713594,0.623051
